[02/05/2026 17:35] Jana Nour: device_id,device_name,model,manufacturer,serial_number,acquisition_cost,acquisition_date,location,vendor,facility_asset_id,department_asset_id,last_IPM_date,IPM_scheduled_date,IPM_status,IPM_completed_on_schedule_pct,scheduled_IPMs_this_year,completed_IPMs_this_year,open_repair_jobs,repairs_over_30_days,parts_on_order_over_60_days,callbacks,user_error_incidents,repairs_completed_within_24h,repairs_completed_within_48h,mean_time_per_repair_hrs,last_repair_date_requested,last_repair_date_assigned,last_repair_date_completed,problem_code,problem_description,service_provided,part_number,part_description,part_cost,shipping_cost,in_house_technician_id,hours_spent_this_month,average_hourly_rate,labor_cost,vendor_hours_spent,vendor_rate_per_hour,vendor_travel_charges,labor_cost_per_repair,total_cost_per_repair,cost_of_support_pct_acquisition,hazard_notifications_received_this_year,reviewed_and_acted_pct,status,up_time,operating_time,standby_time,down_time,deficiency_time,loading_time,availability_pct,performance_efficiency_pct,failure_rate_per_month,MTBF_months

D001,ECG Machine,MAC 5500,GE Healthcare,SN0001,5000,2023-01-10,Cardiology Room 1,GE,FA001,DA001,2026-01-10,2026-07-10,Completed,95,2,2,0,0,0,1,2,3,4,2.5,2026-03-01,2026-03-02,2026-03-03,E01,Noise Issue,Calibration,P001,Cable,120,20,T001,12,20,240,0,0,0,240,360,7,1,100,Operational,700,650,50,20,10,720,0.97,0.93,0.03,33
D002,ECG Machine,MAC 600,GE Healthcare,SN0002,5200,2023-02-12,Cardiology Room 2,GE,FA002,DA002,2026-01-12,2026-07-12,Completed,92,2,2,1,0,0,1,1,3,3,2.8,2026-03-02,2026-03-03,2026-03-04,E02,Display Fault,Screen Repair,P002,Display,200,30,T002,10,18,180,2,50,40,220,350,6,2,95,Operational,690,640,50,30,10,720,0.95,0.92,0.04,28
D003,ECG Machine,PageWriter,Philips,SN0003,5500,2023-03-01,Cardiology ICU,Philips,FA003,DA003,2026-01-15,2026-07-15,Completed,90,2,2,0,0,0,1,3,4,5,3.1,2026-03-03,2026-03-04,2026-03-05,E03,Lead Failure,Replacement,P003,Leads,150,25,T003,11,22,242,1,60,30,260,380,6.5,1,98,Operational,710,660,50,10,10,720,0.98,0.94,0.02,40
D004,ECG Machine,CardioMax,Bionet,SN0004,4800,2023-04-10,Cardiology ER,Bionet,FA004,DA004,2026-01-18,2026-07-18,Overdue,85,2,1,2,1,0,1,2,2,3,3.5,2026-03-05,2026-03-06,2026-03-07,E04,Battery Issue,Battery Replace,P004,Battery,180,25,T004,9,20,180,2,55,50,250,420,7,3,90,Under Maintenance,600,550,50,120,20,720,0.83,0.90,0.10,10
D005,Defibrillator,LIFEPAK 15,Physio-Control,SN1001,12000,2022-01-10,Cardiology ER,Med,FA005,DA005,2026-02-01,2026-08-01,Completed,98,2,2,0,0,0,0,1,3,4,2.2,2026-02-01,2026-02-02,2026-02-03,D01,Shock Error,Repair,P005,Capacitor,400,50,T005,14,25,350,0,0,0,350,500,4,1,100,Operational,720,700,20,10,5,720,0.99,0.97,0.01,80
D006,Defibrillator,ZOLL X,ZOLL,SN1002,11000,2022-02-20,Cardiology ICU,ZOLL,FA006,DA006,2026-02-05,2026-08-05,Completed,96,2,2,1,0,0,1,2,3,3,2.6,2026-02-10,2026-02-11,2026-02-12,D02,Pad Failure,Replacement,P006,Pads,250,40,T006,12,24,288,1,65,40,300,450,5,2,92,Operational,710,680,30,20,10,720,0.97,0.95,0.03,55
D007,Defibrillator,HeartStart,Philips,SN1003,10000,2022-03-15,Cardiology Room 1,Philips,FA007,DA007,2026-02-10,2026-08-10,Completed,97,2,2,0,0,0,0,1,2,3,2.1,2026-02-12,2026-02-13,2026-02-14,D03,Power Issue,Fix,P007,Power Unit,300,30,T007,10,22,220,0,50,20,250,380,5,1,100,Operational,715,690,25,10,5,720,0.98,0.96,0.02,70
D008,Defibrillator,RescuePro,Mindray,SN1004,9500,2022-04-18,Cardiology ER,Mindray,FA008,DA008,2026-02-15,2026-08-15,Overdue,88,2,1,2,1,0,1,2,2,2,3.8,2026-03-01,2026-03-02,2026-03-03,D04,Sensor Error,Repair,P008,Sensor,220,35,T008,11,23,253,2,70,60,320,500,6,2,85,Failed,600,550,50,120,30,720,0.83,0.90,0.12,8
D009,Ventilator,Servo-i,Maquet,SN2001,25000,2021-01-10,ICU Room 1,Maquet,FA009,DA009,2026-02-01,2026-08-01,Completed,99,2,2,0,0,0,0,1,3,4,3.0,2026-02-01,2026-02-02,2026-02-03,V01,Air Leak,Seal Fix,P009,Seal Kit,500,80,T009,18,30,540,0,0,0,540,800,4,1,100,Operational,720,680,40,10,5,720,0.98,0.95,0.01,85
